,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_02_c00001', 'frag_16_c00001']",3.3040717436970795,3.3040717436970795
1,2,"['frag_02_c00001', 'frag_16_c00001']",3.3040717436970937,3.3040717436970937
2,3,"['frag_02_c00001', 'frag_16_c00001']",3.3040717436970937,3.3040717436970937
3,4,"['frag_02_c00001', 'frag_16_c00001']",3.3040717436970937,3.3040717436970937
4,5,"['frag_05_c00001', 'frag_16_c00001']",4.513089141949067,3.5130891419490666
5,6,"['frag_05_c00001', 'frag_16_c00001']",4.513089141949081,3.513089141949081
6,7,"['frag_05_c00001', 'frag_16_c00001']",4.513089141949081,3.513089141949081
7,8,"['frag_05_c00001', 'frag_16_c00001']",4.513089141949095,3.513089141949095
8,9,"['frag_04_c00001', 'frag_16_c00001']",3.579382222004071,3.579382222004071
9,10,"['frag_04_c00001', 'frag_16_c00001']",3.579382222004085,3.579382222004085
10,11,"['frag_04_c00001', 'frag_16_c00001']",3.5793822220040994,3.5793822220040994
11,12,"['frag_04_c00001', 'frag_16_c00001']",3.5793822220040994,3.5793822220040994
12,13,"['frag_02_c00001', 'frag_04_c00001', 'frag_16_c00001']",5.663799365085325,3.6637993650853247
13,14,"['frag_02_c00001', 'frag_04_c00001', 'frag_16_c00001']",5.663799365085339,3.663799365085339
14,15,"['frag_02_c00001', 'frag_04_c00001', 'frag_16_c00001']",5.663799365085353,3.663799365085353
15,16,"['frag_02_c00001', 'frag_04_c00001', 'frag_16_c00001']",5.663799365085353,3.663799365085353
16,17,"['frag_02_c00001', 'frag_04_c00001', 'frag_16_c00001']",5.663799365085353,3.663799365085353
17,18,"['frag_02_c00001', 'frag_04_c00001', 'frag_16_c00001']",5.663799365085353,3.663799365085353
18,19,"['frag_02_c00001', 'frag_04_c00001', 'frag_16_c00001']",5.663799365085367,3.6637993650853673
19,20,"['frag_02_c00001', 'frag_04_c00001', 'frag_16_c00001']",5.6637993650853815,3.6637993650853815
20,21,"['frag_08_c00001', 'frag_16_c00001']",5.702805390980146,3.7028053909801457
21,22,"['frag_08_c00001', 'frag_16_c00001']",5.702805390980146,3.7028053909801457
22,23,"['frag_08_c00001', 'frag_16_c00001']",5.702805390980146,3.7028053909801457
23,24,"['frag_08_c00001', 'frag_16_c00001']",5.70280539098016,3.70280539098016
24,25,"['frag_12_c00001', 'frag_13_c00001']",5.863886679058382,3.863886679058382
25,26,"['frag_12_c00001', 'frag_13_c00001']",5.863886679058382,3.863886679058382
