,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_15', 'frag_217', 'frag_261', 'frag_4']",1078.7923462837934,1078.7923462837934
1,2,"['frag_15', 'frag_188', 'frag_286', 'frag_3', 'frag_4']",1079.4934092573822,1079.4934092573822
2,3,"['frag_115', 'frag_15', 'frag_261', 'frag_4']",1079.6375401206315,1079.6375401206315
3,4,"['frag_103', 'frag_15', 'frag_3', 'frag_354', 'frag_4']",1080.4539498649538,1080.4539498649538
4,5,"['frag_12', 'frag_223', 'frag_261', 'frag_4']",1080.6247200965881,1080.6247200965881
5,6,"['frag_127', 'frag_15', 'frag_192', 'frag_3', 'frag_4']",1080.687397558242,1080.687397558242
6,7,"['frag_12', 'frag_189', 'frag_261', 'frag_4']",1080.706439383328,1080.706439383328
7,8,"['frag_15', 'frag_191', 'frag_263', 'frag_3', 'frag_4']",1080.8930773474276,1080.8930773474276
8,9,"['frag_12', 'frag_192', 'frag_263', 'frag_3', 'frag_4']",1081.120137307793,1081.120137307793
9,10,"['frag_15', 'frag_217', 'frag_268', 'frag_3', 'frag_4']",1081.1836620420218,1081.1836620420218
10,11,"['frag_111', 'frag_15', 'frag_3', 'frag_359', 'frag_4']",1081.2628687098622,1081.2628687098622
11,12,"['frag_15', 'frag_191', 'frag_292', 'frag_3', 'frag_4']",1081.3915041722357,1081.3915041722357
12,13,"['frag_128', 'frag_15', 'frag_192', 'frag_4']",1081.4589136987925,1081.4589136987925
13,14,"['frag_15', 'frag_188', 'frag_264', 'frag_3', 'frag_4']",1081.5296831056476,1081.5296831056476
14,15,"['frag_15', 'frag_218', 'frag_3', 'frag_340', 'frag_4']",1081.5693884007633,1081.5693884007633
