,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_02_c00001', 'frag_15_c00001']",342.03949509990616,342.03949509990616
1,2,"['frag_02_c00001', 'frag_15_c00001']",342.03949509990616,342.03949509990616
2,3,"['frag_02_c00001', 'frag_15_c00001']",342.03949509990707,342.03949509990707
3,4,"['frag_02_c00001', 'frag_15_c00001']",342.03949509990707,342.03949509990707
4,5,"['frag_02_c00001', 'frag_16_c00001']",358.7484296456005,358.7484296456005
5,6,"['frag_02_c00001', 'frag_16_c00001']",358.7484296456005,358.7484296456005
6,7,"['frag_02_c00001', 'frag_16_c00001']",358.7484296456005,358.7484296456005
7,8,"['frag_02_c00001', 'frag_16_c00001']",358.7484296456005,358.7484296456005
8,9,"['frag_03_c00001', 'frag_15_c00001']",435.02392870371114,435.02392870371114
9,10,"['frag_03_c00001', 'frag_15_c00001']",435.02392870371114,435.02392870371114
10,11,"['frag_03_c00001', 'frag_15_c00001']",435.02392870371114,435.02392870371114
11,12,"['frag_03_c00001', 'frag_15_c00001']",435.02392870371114,435.02392870371114
12,13,"['frag_03_c00001', 'frag_16_c00001']",450.17483326495676,450.17483326495676
13,14,"['frag_03_c00001', 'frag_16_c00001']",450.17483326495676,450.17483326495676
14,15,"['frag_03_c00001', 'frag_16_c00001']",450.17483326495676,450.17483326495676
15,16,"['frag_03_c00001', 'frag_16_c00001']",450.17483326495676,450.17483326495676
16,17,"['frag_04_c00001', 'frag_15_c00001']",585.8979236888472,585.8979236888472
17,18,"['frag_04_c00001', 'frag_15_c00001']",585.8979236888472,585.8979236888472
18,19,"['frag_04_c00001', 'frag_15_c00001']",585.8979236888481,585.8979236888481
19,20,"['frag_04_c00001', 'frag_15_c00001']",585.8979236888481,585.8979236888481
20,21,"['frag_04_c00001', 'frag_16_c00001']",599.6944226790893,599.6944226790893
21,22,"['frag_04_c00001', 'frag_16_c00001']",599.6944226790893,599.6944226790893
22,23,"['frag_04_c00001', 'frag_16_c00001']",599.6944226790893,599.6944226790893
23,24,"['frag_04_c00001', 'frag_16_c00001']",599.6944226790893,599.6944226790893
24,25,"['frag_06_c00001', 'frag_13_c00001']",671.2446606077956,671.2446606077956
25,26,"['frag_06_c00001', 'frag_13_c00001']",671.2446606077956,671.2446606077956
26,27,"['frag_06_c00001', 'frag_13_c00001']",671.2446606077956,671.2446606077956
