,xyz,energies,name
0,sildenafil.xyz,-1880.98844049954,sildenafil
1,troglitazone.xyz,-1757.19931730055,troglitazone
2,penicillin.xyz,-1427.0346055,penicillin
3,121259.xyz,-387.746794555148,121259
4,12351.xyz,-312.682253110873,12351
5,35811.xyz,-381.495807845803,35811
6,85759.xyz,-401.342548599894,85759
7,96295.xyz,-459.48939802418,96295
8,5696.xyz,-362.12072438271,5696
9,31476.xyz,-419.919861186022,31476
10,55607.xyz,-486.551134593892,55607
11,68076.xyz,-423.596073766732,68076
12,120425.xyz,-386.565334566598,120425
13,imatinib.xyz,-1579.36323409845,imatinib
14,pemetrexed.xyz,-1497.2781983619,pemetrexed
15,raltegravir.xyz,-1576.42601566506,raltegravir
16,sitagliptin.xyz,-1563.99009250642,sitagliptin
17,oxycodone.xyz,-1052.28617253436,oxycodone
18,pregabalin.xyz,-519.353212572484,pregabalin
19,apixaban.xyz,-1539.59242119623,apixaban
