,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_04_c00001', 'frag_16_c00001']",25789.307766813356,25789.307766813356
1,2,"['frag_04_c00001', 'frag_15_c00001']",25819.650389946175,25819.650389946175
2,3,"['frag_06_c00001', 'frag_13_c00001']",25847.403029023983,25847.403029023983
3,4,"['frag_07_c00001', 'frag_12_c00001']",25849.587219875357,25849.587219875357
4,5,"['frag_07_c00001', 'frag_11_c00001']",25855.20649788474,25855.20649788474
5,6,"['frag_03_c00001', 'frag_16_c00001']",25918.67194067638,25918.67194067638
6,7,"['frag_03_c00001', 'frag_15_c00001']",25966.674231090474,25966.674231090474
7,8,"['frag_09_c00001', 'frag_11_c00001']",26754.74086754687,26754.74086754687
8,9,"['frag_10_c00001', 'frag_11_c00001']",26764.480168919625,26764.480168919625
9,10,"['frag_09_c00001', 'frag_12_c00001']",26805.73241563046,26805.73241563046
10,11,"['frag_10_c00001', 'frag_12_c00001']",26825.34175317153,26825.34175317153
11,12,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",27054.067235835588,27054.067235835588
12,13,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",27180.841580216882,27180.841580216882
13,14,"['frag_01_c00001', 'frag_07_c00001', 'frag_10_c00001']",27358.53392674651,27358.53392674651
14,15,"['frag_01_c00001', 'frag_07_c00001', 'frag_09_c00001']",27360.106807849465,27360.106807849465
15,16,"['frag_01_c00001', 'frag_06_c00001', 'frag_11_c00001']",27390.62031526198,27390.62031526198
16,17,"['frag_01_c00001', 'frag_06_c00001', 'frag_12_c00001']",27402.940143516396,27402.940143516396
17,18,"['frag_05_c00001', 'frag_13_c00001']",27516.755553846706,27516.755553846706
18,19,"['frag_06_c00001', 'frag_14_c00001']",27838.220400930448,27838.220400930448
19,20,"['frag_08_c00001', 'frag_12_c00001']",27928.113852178365,27928.113852178365
20,21,"['frag_02_c00001', 'frag_15_c00001']",28049.81805731642,28049.81805731642
21,22,"['frag_02_c00001', 'frag_16_c00001']",28153.267229596582,28153.267229596582
