,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_04_c00001', 'frag_16_c00001']",25789.307766813436,25789.307766813436
1,2,"['frag_03_c00001', 'frag_15_c00001']",25966.674231090583,25966.674231090583
2,3,"['frag_10_c00001', 'frag_11_c00001']",26764.480168919777,26764.480168919777
3,4,"['frag_10_c00001', 'frag_12_c00001']",26825.34175317164,26825.34175317164
4,5,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",27054.067235835595,27054.067235835595
5,6,"['frag_05_c00001', 'frag_13_c00001']",27516.755553846713,27516.755553846713
6,7,"['frag_06_c00001', 'frag_14_c00001']",27838.220400930615,27838.220400930615
7,8,"['frag_08_c00001', 'frag_12_c00001']",27928.113852178445,27928.113852178445
8,9,"['frag_08_c00001', 'frag_11_c00001']",28200.346605708357,28200.346605708357
9,10,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",30457.28541584441,30457.28541584441
