,SolN,Fragments,ObjVal
0,1,"['frag_07_c00001', 'frag_13_c00001']",25688.399569793906
1,2,"['frag_04_c00001', 'frag_16_c00001']",25789.307766813363
2,3,"['frag_04_c00001', 'frag_15_c00001']",25819.650389946175
3,4,"['frag_06_c00001', 'frag_13_c00001']",25847.40302902398
4,5,"['frag_07_c00001', 'frag_15_c00001']",25847.746480193728
5,6,"['frag_07_c00001', 'frag_12_c00001']",25849.587219875357
6,7,"['frag_07_c00001', 'frag_11_c00001']",25855.206497884737
7,8,"['frag_03_c00001', 'frag_16_c00001']",25918.671940676388
8,9,"['frag_07_c00001', 'frag_16_c00001']",25954.12170084104
9,10,"['frag_03_c00001', 'frag_15_c00001']",25966.674231090474
10,11,"['frag_06_c00001', 'frag_15_c00001']",26027.74995176972
11,12,"['frag_06_c00001', 'frag_16_c00001']",26118.487118580993
12,13,"['frag_13_c00001', 'frag_15_c00001']",26376.273634657828
13,14,"['frag_13_c00001', 'frag_16_c00001']",26437.135244920202
14,15,"['frag_11_c00001', 'frag_15_c00001']",26557.833135218185
