,SolN,Fragments,Excess,ObjVal,Assignments
0,1,"['frag_16_c00001', 'frag_11_c00001']","[[], [6, 7, 8]]",6143.730134444777,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(4, 1), (3, 2)]]"
1,2,"['frag_16_c00001', 'frag_15_c00001']","[[], [8, 6, 6, 7, 8]]",6143.817771961352,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(6, 1), (5, 2)]]"
2,4,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",6143.977220813991,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 1), (1, 2)]]"
3,5,"['frag_16_c00001', 'frag_14_c00001']","[[], [6, 7, 6, 8]]",6144.059282075468,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
4,6,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",6144.188997833451,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
5,7,"['frag_16_c00001', 'frag_09_c00001']","[[], [6, 6]]",6144.463886357931,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
6,8,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",6144.527939315543,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
7,10,"['frag_10_c00001', 'frag_16_c00001']","[[6, 7], []]",6144.652225533442,"[[(4, 1), (3, 2)], [(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
8,11,"['frag_13_c00001', 'frag_16_c00001']","[[6, 7, 7, 6], []]",6144.685365567602,"[[(1, 1), (2, 2)], [(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
9,12,"['frag_16_c00001', 'frag_12_c00001']","[[], [8, 7, 6]]",6148.609035856403,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 1), (1, 2)]]"
10,17,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",6787.605918614201,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 1), (1, 2)]]"
