,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_04_c00001', 'frag_16_c00001']",25789.307766811922,25789.307766811922
1,2,"['frag_03_c00001', 'frag_15_c00001']",25966.67423108965,25966.67423108965
2,3,"['frag_10_c00001', 'frag_11_c00001']",26764.480168918148,26764.480168918148
3,4,"['frag_10_c00001', 'frag_12_c00001']",26825.34175316803,26825.34175316803
4,5,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",27054.067235834897,27054.067235834897
5,6,"['frag_05_c00001', 'frag_13_c00001']",27516.755553845316,27516.755553845316
6,7,"['frag_06_c00001', 'frag_14_c00001']",27838.22040092945,27838.22040092945
7,8,"['frag_08_c00001', 'frag_12_c00001']",27928.113852176815,27928.113852176815
8,9,"['frag_08_c00001', 'frag_11_c00001']",28200.346605708823,28200.346605708823
9,10,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",30457.28541584313,30457.28541584313
10,11,"['frag_03_c00001', 'frag_04_c00001', 'frag_12_c00001']",30470.441533343866,30470.441533343866
11,12,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",30538.595616558567,30538.595616558567
12,13,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",31779.789569551125,31779.789569551125
13,14,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",32069.488668888807,32069.488668888807
14,15,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_10_c00001']",34408.21435493603,34408.21435493603
