,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['qm7_51', 'qm7_6123']","[[6, 6], []]",1.8160000000000007,3.8160000000000007,"[[(2, 7), (3, 8)], [(1, 1), (2, 2), (3, 3), (5, 4), (6, 5), (7, 6), (4, 9)]]"
1,2,"['qm7_51', 'qm7_6123']","[[6, 6], []]",1.8160000000000007,3.8160000000000007,"[[(2, 7), (3, 8)], [(1, 1), (2, 2), (3, 3), (5, 4), (6, 5), (7, 6), (4, 9)]]"
2,3,"['qm7_100', 'qm7_4174']","[[6], [6, 6]]",1.9499999999999993,4.949999999999999,"[[(5, 1), (4, 2), (2, 4), (3, 9)], [(2, 3), (5, 5), (6, 6), (4, 7), (3, 8)]]"
3,4,"['qm7_100', 'qm7_4174']","[[6], [6, 6]]",2.4290000000000003,5.429,"[[(5, 1), (4, 2), (2, 4), (1, 9)], [(2, 3), (5, 5), (6, 6), (4, 7), (3, 8)]]"
4,5,"['qm7_51', 'qm7_0', 'qm7_4752']","[[6, 6], [], [6]]",2.949,5.949,"[[(2, 7), (3, 8)], [(1, 9)], [(7, 1), (6, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]"
5,6,"['qm7_752', 'qm7_5925']","[[6, 6, 6], [6]]",1.956999999999999,5.956999999999999,"[[(4, 1), (5, 2), (6, 6)], [(4, 3), (3, 4), (2, 5), (1, 7), (7, 8), (6, 9)]]"
6,7,"['qm7_752', 'qm7_5925']","[[6, 6, 6], [6]]",1.9609999999999985,5.9609999999999985,"[[(6, 1), (5, 2), (4, 6)], [(4, 3), (3, 4), (2, 5), (1, 7), (7, 8), (6, 9)]]"
7,8,"['qm7_51', 'qm7_0', 'qm7_6123']","[[6, 6], [], [6]]",3.1529999999999987,6.152999999999999,"[[(2, 7), (3, 8)], [(1, 2)], [(1, 1), (3, 3), (5, 4), (6, 5), (7, 6), (4, 9)]]"
8,9,"['qm7_51', 'qm7_0', 'qm7_6123']","[[6, 6], [], [6]]",3.1529999999999987,6.152999999999999,"[[(2, 7), (3, 8)], [(1, 2)], [(1, 1), (3, 3), (5, 4), (6, 5), (7, 6), (4, 9)]]"
9,10,"['qm7_51', 'qm7_0', 'qm7_6094']","[[6, 6], [], [6]]",3.205000000000002,6.205000000000002,"[[(2, 7), (3, 8)], [(1, 2)], [(3, 1), (5, 3), (7, 4), (2, 5), (1, 6), (6, 9)]]"
