,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_04_c00001', 'frag_16_c00001']",0.4102458953857422,0.4102458953857422
1,2,"['frag_10_c00001', 'frag_11_c00001']",1.4051761721493676,1.4051761721493676
2,3,"['frag_03_c00001', 'frag_15_c00001']",1.4150998190743849,1.4150998190743849
3,4,"['frag_08_c00001', 'frag_11_c00001']",1.421914417645894,1.421914417645894
4,5,"['frag_05_c00001', 'frag_13_c00001']",1.4640644157771021,1.4640644157771021
5,6,"['frag_10_c00001', 'frag_12_c00001']",1.6282761621987447,1.6282761621987447
6,7,"['frag_08_c00001', 'frag_12_c00001']",1.662262835423462,1.662262835423462
7,8,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",1.85925697570201,1.85925697570201
8,9,"['frag_03_c00001', 'frag_05_c00001', 'frag_10_c00001']",2.0605698624858633,2.0605698624858633
9,10,"['frag_06_c00001', 'frag_14_c00001']",2.1505915452726185,2.1505915452726185
