,SolN,Fragments,ObjVal
0,1,"['frag_04_c00001', 'frag_16_c00001']",0.41024589531763667
1,2,"['frag_10_c00001', 'frag_11_c00001']",1.4051761721421698
2,3,"['frag_03_c00001', 'frag_15_c00001']",1.41509981913023
3,4,"['frag_08_c00001', 'frag_11_c00001']",1.4219144176296865
4,5,"['frag_05_c00001', 'frag_13_c00001']",1.4640644157901157
5,6,"['frag_10_c00001', 'frag_12_c00001']",1.6282761622175883
6,7,"['frag_08_c00001', 'frag_12_c00001']",1.6622628354168683
7,8,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",1.8592569755267156
8,9,"['frag_03_c00001', 'frag_05_c00001', 'frag_10_c00001']",2.0605698626186992
9,10,"['frag_06_c00001', 'frag_14_c00001']",2.1505915452842963
