,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_04_c00001', 'frag_16_c00001']",3.1165636542718858,3.1165636542718858
1,2,"['frag_03_c00001', 'frag_15_c00001']",7.724761622608639,7.724761622608639
2,3,"['frag_08_c00001', 'frag_11_c00001']",7.786012614611536,7.786012614611536
3,4,"['frag_05_c00001', 'frag_13_c00001']",8.090125115821138,8.090125115821138
4,5,"['frag_10_c00001', 'frag_11_c00001']",8.735572746023536,8.735572746023536
5,6,"['frag_08_c00001', 'frag_12_c00001']",10.668678504531272,10.668678504531272
6,7,"['frag_06_c00001', 'frag_14_c00001']",10.940575908403844,10.940575908403844
7,8,"['frag_10_c00001', 'frag_12_c00001']",12.055903860135004,12.055903860135004
8,9,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",14.311148399487138,14.311148399487138
9,10,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",15.70104057341814,15.70104057341814
