,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_04_c00001', 'frag_16_c00001']",3.579382221912965,3.579382221912965
1,2,"['frag_05_c00001', 'frag_13_c00001']",8.942538371426053,8.942538371426053
2,3,"['frag_03_c00001', 'frag_15_c00001']",8.984233384835534,8.984233384835534
3,4,"['frag_08_c00001', 'frag_11_c00001']",9.328540367772803,9.328540367772803
4,5,"['frag_10_c00001', 'frag_11_c00001']",10.224923328496516,10.224923328496516
5,6,"['frag_08_c00001', 'frag_12_c00001']",11.990232625394128,11.990232625394128
6,7,"['frag_06_c00001', 'frag_14_c00001']",12.355941998190247,12.355941998190247
7,8,"['frag_10_c00001', 'frag_12_c00001']",13.220444313483313,13.220444313483313
8,9,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",14.674177955253981,14.674177955253981
9,10,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",17.283835201407783,17.283835201407783
