,SolN,Fragments,ObjVal
0,1,"['frag_04_c00001', 'frag_16_c00001']",3.579382222004071
1,2,"['frag_05_c00001', 'frag_13_c00001']",8.942538371464664
2,3,"['frag_03_c00001', 'frag_15_c00001']",8.984233384881207
3,4,"['frag_08_c00001', 'frag_11_c00001']",9.328540367871568
4,5,"['frag_10_c00001', 'frag_11_c00001']",10.224923328506307
5,6,"['frag_08_c00001', 'frag_12_c00001']",11.990232625445216
6,7,"['frag_06_c00001', 'frag_14_c00001']",12.355941998288088
7,8,"['frag_10_c00001', 'frag_12_c00001']",13.220444313542302
8,9,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",14.67417795530038
9,10,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",17.283835201480656
