,SolN,Fragments,Excess,ObjVal,Assignments
0,1,"['frag_13_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[7, 7, 6], [6, 8], [8, 6, 6, 7, 6, 8]]",0.37433089450439133,"[[(1, 1), (2, 2), (3, 3)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)], [(6, 6)]]"
1,2,"['frag_13_c00001', 'frag_16_c00001']","[[7, 7, 6], [6]]",0.37572870887952486,"[[(1, 1), (2, 2), (3, 3)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
2,3,"['frag_13_c00001', 'frag_11_c00001', 'frag_16_c00001']","[[7, 7, 6], [6, 7, 6, 8], [6, 8]]",0.37758165312032455,"[[(1, 1), (2, 2), (3, 3)], [(4, 6)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)]]"
3,4,"['frag_13_c00001', 'frag_16_c00001', 'frag_09_c00001', 'frag_15_c00001']","[[8, 7, 7, 6], [6, 8], [6, 6, 6], [8, 6, 6, 7, 6, 8]]",0.39346357191519743,"[[(2, 2), (3, 3)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)], [(1, 1)], [(6, 6)]]"
4,6,"['frag_13_c00001', 'frag_16_c00001', 'frag_09_c00001']","[[8, 7, 7, 6], [6], [6, 6, 6]]",0.39486138629033096,"[[(2, 2), (3, 3)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1)]]"
5,7,"['frag_13_c00001', 'frag_14_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[8, 7, 7, 6], [6, 6, 7, 6, 8], [6, 8], [8, 6, 6, 7, 6, 8]]",0.3950419160517704,"[[(2, 2), (3, 3)], [(1, 1)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)], [(6, 6)]]"
6,9,"['frag_13_c00001', 'frag_14_c00001', 'frag_16_c00001']","[[8, 7, 7, 6], [6, 6, 7, 6, 8], [6]]",0.39643973042690395,"[[(2, 2), (3, 3)], [(1, 1)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
7,10,"['frag_13_c00001', 'frag_11_c00001', 'frag_16_c00001', 'frag_09_c00001']","[[8, 7, 7, 6], [6, 7, 6, 8], [6, 8], [6, 6, 6]]",0.39671433053113064,"[[(2, 2), (3, 3)], [(4, 6)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)], [(1, 1)]]"
8,11,"['frag_13_c00001', 'frag_11_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[8, 7, 7, 6], [6, 7, 6, 8], [6, 8], [6, 6, 7, 6, 8, 8]]",0.3969616520726754,"[[(2, 2), (3, 3)], [(4, 6)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)], [(1, 1)]]"
9,12,"['frag_13_c00001', 'frag_08_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[8, 7, 7, 6], [6, 6, 7], [6, 8], [8, 6, 6, 7, 6, 8]]",0.3970218039175557,"[[(2, 2), (3, 3)], [(1, 1)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)], [(6, 6)]]"
10,13,"['frag_13_c00001', 'frag_11_c00001', 'frag_14_c00001', 'frag_16_c00001']","[[8, 7, 7, 6], [6, 7, 6, 8], [6, 6, 7, 6, 8], [6, 8]]",0.3982926746677036,"[[(2, 2), (3, 3)], [(4, 6)], [(1, 1)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)]]"
11,14,"['frag_13_c00001', 'frag_08_c00001', 'frag_16_c00001']","[[8, 7, 7, 6], [6, 6, 7], [6]]",0.39841961829268924,"[[(2, 2), (3, 3)], [(1, 1)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
