,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",1.2801684942096472,1.2801684942096472,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
1,6,"['frag_08_c00001', 'frag_11_c00001']","[[], []]",2.852903053164482,2.852903053164482,"[[(1, 1), (2, 2), (3, 3), (4, 8)], [(2, 4), (3, 5), (4, 6), (5, 7), (1, 9)]]"
2,8,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",2.878845151513815,2.878845151513815,"[[(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]]"
3,13,"['frag_06_c00001', 'frag_14_c00001']","[[], []]",3.0323909800499678,3.0323909800499678,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)]]"
4,15,"['frag_08_c00001', 'frag_12_c00001']","[[], []]",3.107149761170149,3.107149761170149,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(1, 5), (2, 6), (3, 7), (4, 8), (5, 9)]]"
5,24,"['frag_13_c00001', 'frag_05_c00001']","[[], []]",3.278250375762582,3.278250375762582,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 8), (6, 9)], [(1, 5), (2, 6), (3, 7)]]"
6,74,"['frag_10_c00001', 'frag_12_c00001']","[[], []]",4.289970938116312,4.289970938116312,"[[(4, 1), (3, 2), (1, 3), (2, 4)], [(1, 5), (2, 6), (3, 7), (4, 8), (5, 9)]]"
7,95,"['frag_13_c00001', 'frag_04_c00001', 'frag_01_c00001']","[[], [], []]",4.486796990036964,4.486796990036964,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 8), (6, 9)], [(2, 5), (1, 6)], [(1, 7)]]"
8,97,"['frag_03_c00001', 'frag_14_c00001', 'frag_01_c00001']","[[], [], []]",4.495489958673716,4.495489958673716,"[[(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)], [(1, 7)]]"
9,99,"['frag_10_c00001', 'frag_08_c00001', 'frag_01_c00001']","[[], [], []]",4.502342518419027,4.502342518419027,"[[(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 8)], [(1, 7)]]"
10,125,"['frag_11_c00001', 'frag_03_c00001', 'frag_04_c00001']","[[], [], []]",4.721679296344519,4.721679296344519,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7)], [(2, 8), (1, 9)], [(1, 1), (2, 2)]]"
11,126,"['frag_08_c00001', 'frag_06_c00001', 'frag_04_c00001']","[[], [], []]",4.725242206826806,4.725242206826806,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(2, 7), (3, 8), (1, 9)], [(2, 5), (1, 6)]]"
12,149,"['frag_10_c00001', 'frag_06_c00001', 'frag_04_c00001']","[[], [], []]",4.914359902963042,4.914359902963042,"[[(1, 3), (2, 4), (3, 5), (4, 6)], [(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2)]]"
