,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_10', 'frag_26', 'frag_317']",27.473802112042904,27.473802112042904
1,2,"['frag_17', 'frag_209', 'frag_26']",29.3278642706573,29.3278642706573
2,3,"['frag_15', 'frag_219', 'frag_63']",30.45768889039755,30.45768889039755
3,4,"['frag_219', 'frag_26', 'frag_48']",30.735875960439444,30.735875960439444
4,5,"['frag_12', 'frag_277', 'frag_87']",31.24920840933919,31.24920840933919
5,6,"['frag_20', 'frag_209', 'frag_23']",31.999315220862627,31.999315220862627
6,7,"['frag_15', 'frag_209', 'frag_216']",32.088367730379105,32.088367730379105
7,8,"['frag_20', 'frag_209', 'frag_33']",33.21994587033987,33.21994587033987
8,9,"['frag_20', 'frag_219', 'frag_62']",33.35593876615167,33.35593876615167
9,10,"['frag_15', 'frag_227', 'frag_243']",33.35815903171897,33.35815903171897
10,11,"['frag_12', 'frag_227', 'frag_233']",33.389977373182774,33.389977373182774
11,12,"['frag_20', 'frag_71', 'frag_88']",33.46300370618701,33.46300370618701
12,13,"['frag_26', 'frag_317', 'frag_4', 'frag_8']",33.47501662373543,33.47501662373543
13,14,"['frag_12', 'frag_329', 'frag_92']",34.055718299001455,34.055718299001455
14,15,"['frag_20', 'frag_47', 'frag_90']",34.14772313460708,34.14772313460708
15,16,"['frag_20', 'frag_23', 'frag_308']",34.49305793642998,34.49305793642998
16,17,"['frag_255', 'frag_26', 'frag_80']",34.590546794235706,34.590546794235706
17,18,"['frag_178', 'frag_20', 'frag_71']",34.75820408016443,34.75820408016443
18,19,"['frag_26', 'frag_47', 'frag_88']",34.77157433331013,34.77157433331013
19,20,"['frag_252', 'frag_26', 'frag_277']",34.878226175904274,34.878226175904274
20,21,"['frag_13', 'frag_26', 'frag_89']",35.33113927394152,35.33113927394152
21,22,"['frag_209', 'frag_26', 'frag_4', 'frag_9']",35.35126639530063,35.35126639530063
22,23,"['frag_12', 'frag_218', 'frag_277']",35.48103096336126,35.48103096336126
23,24,"['frag_20', 'frag_252', 'frag_278']",35.66001556068659,35.66001556068659
24,25,"['frag_20', 'frag_326', 'frag_71']",35.83792169392109,35.83792169392109
25,26,"['frag_20', 'frag_216', 'frag_277']",35.87418018653989,35.87418018653989
26,27,"['frag_26', 'frag_307', 'frag_80']",35.87840700894594,35.87840700894594
27,28,"['frag_15', 'frag_220', 'frag_277']",35.94604092091322,35.94604092091322
28,29,"['frag_20', 'frag_256', 'frag_80']",36.10391817241907,36.10391817241907
29,30,"['frag_20', 'frag_308', 'frag_33']",36.3184125199914,36.3184125199914
30,31,"['frag_17', 'frag_20', 'frag_227', 'frag_3']",36.33033349737525,36.33033349737525
31,32,"['frag_196', 'frag_26', 'frag_3', 'frag_8']",36.333230312913656,36.333230312913656
32,33,"['frag_15', 'frag_204', 'frag_86']",36.33514917641878,36.33514917641878
33,34,"['frag_209', 'frag_26', 'frag_4', 'frag_5']",36.34451672434807,36.34451672434807
34,35,"['frag_180', 'frag_20', 'frag_23']",36.90968217328191,36.90968217328191
35,36,"['frag_15', 'frag_233', 'frag_92']",36.9352520853281,36.9352520853281
36,37,"['frag_20', 'frag_63', 'frag_86']",37.018613301217556,37.018613301217556
37,38,"['frag_20', 'frag_275', 'frag_87']",37.53164139017463,37.53164139017463
38,39,"['frag_26', 'frag_329', 'frag_71']",37.53184350207448,37.53184350207448
39,40,"['frag_15', 'frag_209', 'frag_34']",37.690698619931936,37.690698619931936
40,41,"['frag_15', 'frag_242', 'frag_90']",37.83884644508362,37.83884644508362
41,42,"['frag_172', 'frag_26', 'frag_87']",37.8592489361763,37.8592489361763
42,43,"['frag_136', 'frag_20', 'frag_255']",37.85943030193448,37.85943030193448
43,44,"['frag_20', 'frag_22', 'frag_317', 'frag_4']",37.98350973799825,37.98350973799825
44,45,"['frag_196', 'frag_26', 'frag_4', 'frag_6']",38.08363685011864,38.08363685011864
45,46,"['frag_15', 'frag_209', 'frag_4', 'frag_71']",38.12610890343785,38.12610890343785
46,47,"['frag_20', 'frag_56', 'frag_92']",38.31829372420907,38.31829372420907
47,48,"['frag_180', 'frag_20', 'frag_33']",38.40052371844649,38.40052371844649
48,49,"['frag_12', 'frag_196', 'frag_202']",38.5360278300941,38.5360278300941
49,50,"['frag_12', 'frag_221', 'frag_277']",38.80144263803959,38.80144263803959
50,51,"['frag_10', 'frag_2', 'frag_20', 'frag_317']",38.82910264283419,38.82910264283419
51,52,"['frag_15', 'frag_227', 'frag_252', 'frag_3']",38.84926928952336,38.84926928952336
52,53,"['frag_178', 'frag_26', 'frag_47']",39.05111853405833,39.05111853405833
53,54,"['frag_20', 'frag_329', 'frag_72']",39.09606048092246,39.09606048092246
54,55,"['frag_20', 'frag_227', 'frag_4', 'frag_48']",39.14897382259369,39.14897382259369
55,56,"['frag_15', 'frag_190', 'frag_63']",39.150493904948235,39.150493904948235
56,57,"['frag_136', 'frag_20', 'frag_307']",39.21330303326249,39.21330303326249
57,58,"['frag_15', 'frag_345', 'frag_63']",39.23342951759696,39.23342951759696
58,59,"['frag_13', 'frag_205', 'frag_26']",39.29324735701084,39.29324735701084
59,60,"['frag_15', 'frag_219', 'frag_94']",39.41952019184828,39.41952019184828
60,61,"['frag_15', 'frag_277', 'frag_83']",39.5414180457592,39.5414180457592
61,62,"['frag_173', 'frag_20', 'frag_89']",39.56058192625642,39.56058192625642
62,63,"['frag_26', 'frag_308', 'frag_4', 'frag_9']",39.57303310185671,39.57303310185671
63,64,"['frag_15', 'frag_308', 'frag_34']",39.71054131537676,39.71054131537676
64,65,"['frag_26', 'frag_56', 'frag_86']",39.859608463943005,39.859608463943005
65,66,"['frag_20', 'frag_204', 'frag_95']",39.88517716154456,39.88517716154456
66,67,"['frag_15', 'frag_329', 'frag_73']",40.08698368817568,40.08698368817568
67,68,"['frag_179', 'frag_20', 'frag_23']",40.105223406106234,40.105223406106234
