,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_03_c00001', 'frag_15_c00001']",30.583210493356773,30.583210493356773
1,2,"['frag_08_c00001', 'frag_11_c00001']",32.62731940962044,32.62731940962044
2,3,"['frag_06_c00001', 'frag_14_c00001']",38.81556669306042,38.81556669306042
3,4,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",41.65372279891915,41.65372279891915
4,5,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",46.04153538496507,46.04153538496507
5,6,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",49.68620589718125,49.68620589718125
6,7,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",50.34032026918942,50.34032026918942
7,8,"['frag_10_c00001', 'frag_11_c00001']",50.4979728019274,50.4979728019274
8,9,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",51.489833780803906,51.489833780803906
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",56.90219582323607,56.90219582323607
10,11,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_08_c00001']",57.59573213689123,57.59573213689123
11,12,"['frag_05_c00001', 'frag_13_c00001']",58.85435034968168,58.85435034968168
12,13,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",59.23204823616038,59.23204823616038
13,14,"['frag_03_c00001', 'frag_05_c00001', 'frag_10_c00001']",60.837437777887885,60.837437777887885
14,15,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_10_c00001']",61.23629715676839,61.23629715676839
15,16,"['frag_04_c00001', 'frag_05_c00001', 'frag_07_c00001']",62.56935080942662,62.56935080942662
16,17,"['frag_04_c00001', 'frag_16_c00001']",71.43052630874922,71.43052630874922
17,18,"['frag_08_c00001', 'frag_12_c00001']",92.93543368837129,92.93543368837129
18,19,"['frag_10_c00001', 'frag_12_c00001']",99.55982820297754,99.55982820297754
19,20,"['frag_03_c00001', 'frag_04_c00001', 'frag_12_c00001']",106.0804412422732,106.0804412422732
20,21,"['frag_02_c00001', 'frag_15_c00001']",133.3570003141001,133.3570003141001
21,22,"['frag_09_c00001', 'frag_11_c00001']",138.22931404277824,138.22931404277824
22,23,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",144.04205181121586,144.04205181121586
23,24,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",149.7519782626307,149.7519782626307
24,25,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",154.2775755485875,154.2775755485875
25,26,"['frag_04_c00001', 'frag_06_c00001', 'frag_09_c00001']",159.78640871498624,159.78640871498624
26,27,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",159.8417842935719,159.8417842935719
27,28,"['frag_01_c00001', 'frag_02_c00001', 'frag_04_c00001', 'frag_10_c00001']",160.2406436724525,160.2406436724525
28,29,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",165.99723308816942,165.99723308816942
29,30,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",166.9503682674066,166.9503682674066
30,31,"['frag_01_c00001', 'frag_02_c00001', 'frag_04_c00001', 'frag_08_c00001']",167.64390458106175,167.64390458106175
31,32,"['frag_03_c00001', 'frag_05_c00001', 'frag_09_c00001']",170.38544450651057,170.38544450651057
32,33,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_09_c00001']",170.90428205390322,170.90428205390322
33,34,"['frag_01_c00001', 'frag_06_c00001', 'frag_11_c00001']",171.65443481390082,171.65443481390082
34,35,"['frag_02_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_05_c00001']",176.37338361811408,176.37338361811408
35,36,"['frag_06_c00001', 'frag_15_c00001']",83.96756932339918,183.96756932339918
36,37,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",186.30415711493788,186.30415711493788
37,38,"['frag_01_c00001', 'frag_03_c00001', 'frag_05_c00001', 'frag_06_c00001']",190.37664960267261,190.37664960267261
38,39,"['frag_04_c00001', 'frag_15_c00001']",191.96498833785722,191.96498833785722
39,40,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",94.58321049335677,194.58321049335677
40,41,"['frag_04_c00001', 'frag_06_c00001', 'frag_11_c00001']",95.01738285979627,195.01738285979627
41,42,"['frag_02_c00001', 'frag_06_c00001', 'frag_08_c00001']",195.3989860812651,195.3989860812651
42,43,"['frag_01_c00001', 'frag_08_c00001', 'frag_11_c00001']",96.62731940962044,196.62731940962044
43,44,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",200.20029958971816,200.20029958971816
44,45,"['frag_02_c00001', 'frag_06_c00001', 'frag_10_c00001']",201.0713527487385,201.0713527487385
45,46,"['frag_02_c00001', 'frag_05_c00001', 'frag_07_c00001']",201.792233742309,201.792233742309
46,47,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",201.80673043236834,201.80673043236834
