,SolN,Fragments,ObjVal
0,1,"['frag_03_c00001', 'frag_15_c00001']",30.583210493356773
1,2,"['frag_08_c00001', 'frag_11_c00001']",32.62731940962021
2,3,"['frag_06_c00001', 'frag_14_c00001']",38.81556669306042
3,4,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",41.653722798919034
4,5,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",46.04153538496462
5,6,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",49.68620589718125
6,7,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",50.34032026918908
7,8,"['frag_10_c00001', 'frag_11_c00001']",50.497972801927745
8,9,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",51.48983378080379
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",56.90219582323607
