,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_03_c00001', 'frag_15_c00001']",30.650106964050792,30.650106964050792
1,2,"['frag_08_c00001', 'frag_11_c00001']",32.70218443998601,32.70218443998601
2,3,"['frag_06_c00001', 'frag_14_c00001']",38.90010533959139,38.90010533959139
3,4,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",41.75339938583784,41.75339938583784
4,5,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",46.14195074106101,46.14195074106101
5,6,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",49.801503201480955,49.801503201480955
6,7,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",50.45880467595998,50.45880467595998
7,8,"['frag_10_c00001', 'frag_11_c00001']",50.602352675865404,50.602352675865404
8,9,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",51.611431291210465,51.611431291210465
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",57.022217135177925,57.022217135177925
