,SolN,Fragments,ObjVal
0,1,"['frag_03_c00001', 'frag_15_c00001']",30.650106963933013
1,2,"['frag_08_c00001', 'frag_11_c00001']",32.70218443993781
2,3,"['frag_06_c00001', 'frag_14_c00001']",38.90010533960117
3,4,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",41.7533993859322
4,5,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",46.14195074117242
5,6,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",49.80150320148573
6,7,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",50.458804676023874
7,8,"['frag_10_c00001', 'frag_11_c00001']",50.602352675849716
8,9,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",51.611431291122926
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",57.0222171351661
