,SolN,Fragments,ObjVal
0,1,"['frag_03_c00001', 'frag_15_c00001']",30.564402578472937
1,2,"['frag_08_c00001', 'frag_11_c00001']",32.61027962438516
2,3,"['frag_06_c00001', 'frag_14_c00001']",38.79382834177818
3,4,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",41.637384596755965
4,5,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",46.020823798849506
5,6,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",49.663226913459994
6,7,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",50.32051666689472
7,8,"['frag_10_c00001', 'frag_11_c00001']",50.45971476298928
8,9,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",51.46718750919035
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",56.87154680221715
