,SolN,Fragments,ObjVal
0,1,"['frag_15', 'frag_261', 'frag_3', 'frag_354', 'frag_4']",462.3324819892223
1,2,"['frag_12', 'frag_261', 'frag_3', 'frag_361', 'frag_4']",463.2866777766758
2,3,"['frag_15', 'frag_261', 'frag_271', 'frag_3', 'frag_4']",463.5106672754555
3,4,"['frag_15', 'frag_286', 'frag_3', 'frag_303', 'frag_4', 'frag_61']",465.36718055063284
4,5,"['frag_15', 'frag_3', 'frag_361', 'frag_4', 'frag_54']",465.64755481881366
5,6,"['frag_15', 'frag_286', 'frag_3', 'frag_340', 'frag_4', 'frag_6']",465.7502278625452
6,7,"['frag_15', 'frag_171', 'frag_286', 'frag_3', 'frag_4', 'frag_62']",465.81271013341757
7,8,"['frag_15', 'frag_3', 'frag_361', 'frag_4', 'frag_96']",465.8261668716041
8,9,"['frag_12', 'frag_286', 'frag_3', 'frag_303', 'frag_4', 'frag_62']",465.96285712799545
9,10,"['frag_15', 'frag_286', 'frag_3', 'frag_304', 'frag_4', 'frag_7']",466.11413384995103
10,11,"['frag_15', 'frag_263', 'frag_3', 'frag_331', 'frag_4']",466.26752401470185
11,12,"['frag_15', 'frag_172', 'frag_286', 'frag_3', 'frag_37', 'frag_4']",466.26808957099274
12,13,"['frag_15', 'frag_173', 'frag_286', 'frag_3', 'frag_4', 'frag_48']",466.2803581125445
13,14,"['frag_12', 'frag_261', 'frag_3', 'frag_303', 'frag_4', 'frag_81']",466.3095365711597
14,15,"['frag_15', 'frag_260', 'frag_3', 'frag_361', 'frag_4']",466.3125583962883
