,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_03_c00001', 'frag_15_c00001']",30.56440258026123,30.56440258026123
1,2,"['frag_08_c00001', 'frag_11_c00001']",32.61027962528169,32.61027962528169
2,3,"['frag_06_c00001', 'frag_14_c00001']",38.79382834210992,38.79382834210992
3,4,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",41.637384597212076,41.637384597212076
4,5,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",46.020823799073696,46.020823799073696
5,6,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",49.663226913660765,49.663226913660765
6,7,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",50.3205166682601,50.3205166682601
7,8,"['frag_10_c00001', 'frag_11_c00001']",50.4597147628665,50.4597147628665
8,9,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",51.4671875089407,51.4671875089407
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",56.87154680117965,56.87154680117965
