,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",12.832482235506177,12.832482235506177,"[[(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]]"
1,2,"['frag_08_c00001', 'frag_11_c00001']","[[], []]",13.327864004299045,13.327864004299045,"[[(1, 1), (2, 2), (3, 3), (4, 8)], [(2, 4), (3, 5), (4, 6), (5, 7), (1, 9)]]"
2,8,"['frag_06_c00001', 'frag_14_c00001']","[[], []]",15.874931324273348,15.874931324273348,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)]]"
3,9,"['frag_11_c00001', 'frag_03_c00001', 'frag_04_c00001']","[[], [], []]",15.90805041231215,15.90805041231215,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7)], [(2, 8), (1, 9)], [(1, 1), (2, 2)]]"
4,23,"['frag_10_c00001', 'frag_06_c00001', 'frag_04_c00001']","[[], [], []]",19.189624402672052,19.189624402672052,"[[(1, 3), (2, 4), (3, 5), (4, 6)], [(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2)]]"
5,24,"['frag_08_c00001', 'frag_06_c00001', 'frag_04_c00001']","[[], [], []]",19.38553192280233,19.38553192280233,"[[(2, 2), (3, 3), (4, 4), (1, 6)], [(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 5)]]"
6,37,"['frag_10_c00001', 'frag_11_c00001']","[[], []]",20.280936148017645,20.280936148017645,"[[(4, 1), (3, 2), (1, 3), (2, 8)], [(2, 4), (3, 5), (4, 6), (5, 7), (1, 9)]]"
7,43,"['frag_03_c00001', 'frag_14_c00001', 'frag_01_c00001']","[[], [], []]",21.368792850524187,21.368792850524187,"[[(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)], [(1, 7)]]"
8,56,"['frag_10_c00001', 'frag_08_c00001', 'frag_01_c00001']","[[], [], []]",22.10357242822647,22.10357242822647,"[[(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 8)], [(1, 7)]]"
9,62,"['frag_13_c00001', 'frag_05_c00001']","[[], []]",22.944773968309164,22.944773968309164,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 8), (6, 9)], [(1, 5), (2, 6), (3, 7)]]"
10,68,"['frag_05_c00001', 'frag_03_c00001', 'frag_08_c00001']","[[], [], []]",23.374790132045746,23.374790132045746,"[[(1, 5), (2, 6), (3, 7)], [(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4)]]"
11,71,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",23.47391726821661,23.47391726821661,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
12,83,"['frag_13_c00001', 'frag_04_c00001', 'frag_01_c00001']","[[], [], []]",24.46193876489997,24.46193876489997,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 8), (6, 9)], [(2, 5), (1, 6)], [(1, 7)]]"
13,89,"['frag_10_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_01_c00001']","[[], [], [], []]",24.68348592892289,24.68348592892289,"[[(1, 3), (2, 4), (3, 5), (4, 6)], [(2, 8), (1, 9)], [(1, 1), (2, 2)], [(1, 7)]]"
14,96,"['frag_08_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_01_c00001']","[[], [], [], []]",24.87939344905317,24.87939344905317,"[[(2, 2), (3, 3), (4, 4), (1, 6)], [(2, 8), (1, 9)], [(1, 1), (2, 5)], [(1, 7)]]"
15,105,"['frag_05_c00001', 'frag_07_c00001', 'frag_04_c00001']","[[], [], []]",25.161838801577687,25.161838801577687,"[[(1, 5), (2, 6), (3, 7)], [(1, 3), (4, 4), (3, 8), (2, 9)], [(1, 1), (2, 2)]]"
