,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_103', 'frag_12', 'frag_255']",8.317264281213284,8.317264281213284
1,2,"['frag_102', 'frag_15', 'frag_255']",8.400145184248686,8.400145184248686
2,3,"['frag_103', 'frag_15', 'frag_277']",8.592023003846407,8.592023003846407
3,4,"['frag_15', 'frag_220', 'frag_277']",8.88125665485859,8.88125665485859
4,5,"['frag_12', 'frag_221', 'frag_277']",9.013123545795679,9.013123545795679
5,6,"['frag_102', 'frag_12', 'frag_317']",9.305831242352724,9.305831242352724
6,7,"['frag_12', 'frag_220', 'frag_255']",9.439357481896877,9.439357481896877
7,8,"['frag_173', 'frag_20', 'frag_89']",9.684684358537197,9.684684358537197
8,9,"['frag_12', 'frag_191', 'frag_277']",9.992493897676468,9.992493897676468
9,10,"['frag_252', 'frag_26', 'frag_277']",10.179085168987513,10.179085168987513
10,11,"['frag_255', 'frag_26', 'frag_80']",10.490547552704811,10.490547552704811
11,12,"['frag_10', 'frag_26', 'frag_317']",10.496118657290936,10.496118657290936
12,13,"['frag_101', 'frag_12', 'frag_233']",10.51260694861412,10.51260694861412
13,14,"['frag_15', 'frag_186', 'frag_89']",10.530341640114784,10.530341640114784
14,15,"['frag_101', 'frag_15', 'frag_243']",10.610906600952148,10.610906600952148
