,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_06_c00001', 'frag_14_c00001']",0.04394687933668706,0.04394687933668706
1,2,"['frag_08_c00001', 'frag_12_c00001']",0.04605681498889602,0.04605681498889602
2,3,"['frag_08_c00001', 'frag_11_c00001']",0.04665435944427543,0.04665435944427543
3,4,"['frag_10_c00001', 'frag_12_c00001']",0.04777351148299758,0.04777351148299758
4,5,"['frag_06_c00001', 'frag_13_c00001']",0.04849919747313969,0.04849919747313969
5,6,"['frag_10_c00001', 'frag_11_c00001']",0.05033610784559883,0.05033610784559883
6,7,"['frag_05_c00001', 'frag_13_c00001']",0.053926514092401234,0.053926514092401234
7,8,"['frag_03_c00001', 'frag_15_c00001']",0.05412958134440693,0.05412958134440693
8,9,"['frag_07_c00001', 'frag_12_c00001']",0.05609947123639536,0.05609947123639536
9,10,"['frag_04_c00001', 'frag_16_c00001']",0.056688171308694635,0.056688171308694635
10,11,"['frag_07_c00001', 'frag_11_c00001']",0.05751933105523399,0.05751933105523399
11,12,"['frag_03_c00001', 'frag_16_c00001']",0.0713571390608152,0.0713571390608152
12,13,"['frag_09_c00001', 'frag_12_c00001']",0.07658228652562649,0.07658228652562649
13,14,"['frag_04_c00001', 'frag_15_c00001']",0.07695371294484943,0.07695371294484943
14,15,"['frag_09_c00001', 'frag_11_c00001']",0.0772034560214081,0.0772034560214081
15,16,"['frag_05_c00001', 'frag_14_c00001']",0.0784755861098212,0.0784755861098212
16,17,"['frag_02_c00001', 'frag_16_c00001']",0.12347135975422496,0.12347135975422496
17,18,"['frag_02_c00001', 'frag_15_c00001']",0.124889971032907,0.124889971032907
18,19,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",0.17127869727782574,0.17127869727782574
19,20,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",0.17742522299005614,0.17742522299005614
20,21,"['frag_01_c00001', 'frag_07_c00001', 'frag_08_c00001']",0.17811267057268054,0.17811267057268054
21,22,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",0.178989631120535,0.178989631120535
22,23,"['frag_01_c00001', 'frag_07_c00001', 'frag_10_c00001']",0.1790872612753347,0.1790872612753347
23,24,"['frag_03_c00001', 'frag_05_c00001', 'frag_10_c00001']",0.18223835525913934,0.18223835525913934
24,25,"['frag_03_c00001', 'frag_04_c00001', 'frag_12_c00001']",0.18545516007166007,0.18545516007166007
25,26,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",0.18591247387900722,0.18591247387900722
26,27,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",0.18697963289045738,0.18697963289045738
27,28,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",0.187002280032333,0.187002280032333
28,29,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",0.18839585759403654,0.18839585759403654
29,30,"['frag_03_c00001', 'frag_05_c00001', 'frag_07_c00001']",0.1911801651866778,0.1911801651866778
30,31,"['frag_01_c00001', 'frag_07_c00001', 'frag_09_c00001']",0.19612644751267005,0.19612644751267005
31,32,"['frag_04_c00001', 'frag_05_c00001', 'frag_07_c00001']",0.19958493931040877,0.19958493931040877
32,33,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",0.20210765477972004,0.20210765477972004
33,34,"['frag_03_c00001', 'frag_06_c00001', 'frag_10_c00001']",0.2064874201719178,0.2064874201719178
34,35,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",0.21592349808571143,0.21592349808571143
35,36,"['frag_03_c00001', 'frag_05_c00001', 'frag_09_c00001']",0.2168036752949316,0.2168036752949316
36,37,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",0.2178666011081667,0.2178666011081667
37,38,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",0.22911069973154063,0.22911069973154063
38,39,"['frag_04_c00001', 'frag_06_c00001', 'frag_09_c00001']",0.2342937785917396,0.2342937785917396
39,40,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",0.24903607974126452,0.24903607974126452
40,41,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",0.2505687542816446,0.2505687542816446
41,42,"['frag_04_c00001', 'frag_05_c00001', 'frag_08_c00001']",0.25280464030630867,0.25280464030630867
42,43,"['frag_04_c00001', 'frag_05_c00001', 'frag_10_c00001']",0.254156982767741,0.254156982767741
43,44,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",0.2581585436374638,0.2581585436374638
44,45,"['frag_03_c00001', 'frag_06_c00001', 'frag_07_c00001']",0.2590306389528152,0.2590306389528152
45,46,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",0.2634082761392822,0.2634082761392822
46,47,"['frag_01_c00001', 'frag_06_c00001', 'frag_11_c00001']",0.26516102470579916,0.26516102470579916
47,48,"['frag_01_c00001', 'frag_06_c00001', 'frag_12_c00001']",0.26516843043076754,0.26516843043076754
48,49,"['frag_02_c00001', 'frag_06_c00001', 'frag_10_c00001']",0.2669502194465583,0.2669502194465583
49,50,"['frag_02_c00001', 'frag_06_c00001', 'frag_08_c00001']",0.26712185319464865,0.26712185319464865
50,51,"['frag_02_c00001', 'frag_05_c00001', 'frag_07_c00001']",0.2677502869737225,0.2677502869737225
51,52,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",0.2867661411161162,0.2867661411161162
52,53,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",0.2880688161178018,0.2880688161178018
53,54,"['frag_02_c00001', 'frag_06_c00001', 'frag_07_c00001']",0.29153577415752174,0.29153577415752174
54,55,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",0.2934106396184024,0.2934106396184024
55,56,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",0.29539705241639247,0.29539705241639247
56,57,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",0.3060576880950858,0.3060576880950858
57,58,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",0.30645848448802937,0.30645848448802937
58,59,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",0.31627222093053575,0.31627222093053575
59,60,"['frag_04_c00001', 'frag_05_c00001', 'frag_09_c00001']",0.3232410428649928,0.3232410428649928
60,61,"['frag_02_c00001', 'frag_06_c00001', 'frag_09_c00001']",0.34999643916652623,0.34999643916652623
61,62,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_07_c00001']",0.3822466835430127,0.3822466835430127
62,63,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",0.38478510967700075,0.38478510967700075
