,SolN,Fragments,ObjVal
0,1,"['frag_06_c00001', 'frag_14_c00001']",0.04394687933668701
1,2,"['frag_08_c00001', 'frag_12_c00001']",0.04605681498889508
2,3,"['frag_08_c00001', 'frag_11_c00001']",0.046654359444274714
3,4,"['frag_10_c00001', 'frag_12_c00001']",0.0477735114829985
4,5,"['frag_10_c00001', 'frag_11_c00001']",0.05033610784559881
5,6,"['frag_05_c00001', 'frag_13_c00001']",0.05392651409240146
6,7,"['frag_03_c00001', 'frag_15_c00001']",0.0541295813444071
7,8,"['frag_04_c00001', 'frag_16_c00001']",0.05668817130869392
8,9,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",0.17898963112053617
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_10_c00001']",0.18223835525913845
