,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_06_c00001', 'frag_14_c00001']",0.0439468789845705,0.0439468789845705
1,2,"['frag_08_c00001', 'frag_12_c00001']",0.04605681635439396,0.04605681635439396
2,3,"['frag_08_c00001', 'frag_11_c00001']",0.04665436036884785,0.04665436036884785
3,4,"['frag_10_c00001', 'frag_12_c00001']",0.047773513942956924,0.047773513942956924
4,5,"['frag_10_c00001', 'frag_11_c00001']",0.05033610947430134,0.05033610947430134
5,6,"['frag_05_c00001', 'frag_13_c00001']",0.05392651632428169,0.05392651632428169
6,7,"['frag_03_c00001', 'frag_15_c00001']",0.0541295800358057,0.0541295800358057
7,8,"['frag_04_c00001', 'frag_16_c00001']",0.05668817088007927,0.05668817088007927
8,9,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",0.17898963019251823,0.17898963019251823
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_10_c00001']",0.1822383552789688,0.1822383552789688
10,11,"['frag_03_c00001', 'frag_04_c00001', 'frag_12_c00001']",0.18545516021549702,0.18545516021549702
11,12,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",0.1859124731272459,0.1859124731272459
12,13,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",0.1869796346873045,0.1869796346873045
13,14,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",0.18700228072702885,0.18700228072702885
14,15,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",0.18839585781097412,0.18839585781097412
