,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",0.02667677216231823,0.02667677216231823,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
1,6,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",0.04613589867949486,0.04613589867949486,"[[(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]]"
2,11,"['frag_08_c00001', 'frag_11_c00001']","[[], []]",0.05129508674144745,0.05129508674144745,"[[(1, 1), (2, 2), (3, 3), (4, 8)], [(2, 4), (3, 5), (4, 6), (5, 7), (1, 9)]]"
3,12,"['frag_08_c00001', 'frag_12_c00001']","[[], []]",0.05184313654899597,0.05184313654899597,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(1, 5), (2, 6), (3, 7), (4, 8), (5, 9)]]"
4,13,"['frag_06_c00001', 'frag_14_c00001']","[[], []]",0.0519856046885252,0.0519856046885252,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)]]"
5,14,"['frag_13_c00001', 'frag_05_c00001']","[[], []]",0.052250009030103683,0.052250009030103683,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 8), (6, 9)], [(1, 5), (2, 6), (3, 7)]]"
6,52,"['frag_13_c00001', 'frag_04_c00001', 'frag_01_c00001']","[[], [], []]",0.06291601061820984,0.06291601061820984,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 8), (6, 9)], [(2, 5), (1, 6)], [(1, 7)]]"
7,57,"['frag_03_c00001', 'frag_14_c00001', 'frag_01_c00001']","[[], [], []]",0.06456086970865726,0.06456086970865726,"[[(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)], [(1, 7)]]"
8,80,"['frag_10_c00001', 'frag_08_c00001', 'frag_01_c00001']","[[], [], []]",0.06877418048679829,0.06877418048679829,"[[(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 8)], [(1, 7)]]"
9,114,"['frag_10_c00001', 'frag_12_c00001']","[[], []]",0.07267116196453571,0.07267116196453571,"[[(3, 2), (1, 3), (2, 4), (4, 6)], [(2, 1), (1, 5), (3, 7), (4, 8), (5, 9)]]"
10,141,"['frag_11_c00001', 'frag_03_c00001', 'frag_04_c00001']","[[], [], []]",0.07514557428658009,0.07514557428658009,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7)], [(2, 8), (1, 9)], [(1, 1), (2, 2)]]"
11,146,"['frag_08_c00001', 'frag_06_c00001', 'frag_04_c00001']","[[], [], []]",0.07557449117302895,0.07557449117302895,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(2, 7), (3, 8), (1, 9)], [(2, 5), (1, 6)]]"
