,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_01_c00001', 'frag_11_c00001']",694.7259608811855,694.7259608811855
1,2,"['frag_01_c00001', 'frag_11_c00001']",694.7259608811855,694.7259608811855
2,3,"['frag_01_c00001', 'frag_11_c00001']",694.7259608811855,694.7259608811855
3,4,"['frag_01_c00001', 'frag_11_c00001']",694.7259608811855,694.7259608811855
4,5,"['frag_01_c00001', 'frag_12_c00001']",695.2645968713277,695.2645968713277
5,6,"['frag_01_c00001', 'frag_12_c00001']",695.2645968713277,695.2645968713277
6,7,"['frag_01_c00001', 'frag_12_c00001']",695.2645968713296,695.2645968713296
7,8,"['frag_01_c00001', 'frag_12_c00001']",695.2645968713296,695.2645968713296
8,9,"['frag_01_c00001', 'frag_07_c00001']",774.6014275956022,774.6014275956022
9,10,"['frag_01_c00001', 'frag_07_c00001']",774.6014275956022,774.6014275956022
10,11,"['frag_01_c00001', 'frag_07_c00001']",774.6014275956022,774.6014275956022
11,12,"['frag_01_c00001', 'frag_07_c00001']",774.6014275956022,774.6014275956022
12,13,"['frag_02_c00001', 'frag_05_c00001']",886.7924470820108,886.7924470820108
13,14,"['frag_02_c00001', 'frag_05_c00001']",886.7924470820108,886.7924470820108
14,15,"['frag_02_c00001', 'frag_05_c00001']",886.7924470820108,886.7924470820108
15,16,"['frag_02_c00001', 'frag_05_c00001']",886.7924470820108,886.7924470820108
16,17,"['frag_04_c00001', 'frag_10_c00001']",907.6957904465507,907.6957904465507
17,18,"['frag_04_c00001', 'frag_10_c00001']",907.6957904465507,907.6957904465507
18,19,"['frag_04_c00001', 'frag_10_c00001']",907.6957904465526,907.6957904465526
19,20,"['frag_04_c00001', 'frag_10_c00001']",907.6957904465526,907.6957904465526
20,21,"['frag_04_c00001', 'frag_08_c00001']",908.4642124792663,908.4642124792663
21,22,"['frag_04_c00001', 'frag_08_c00001']",908.4642124792663,908.4642124792663
22,23,"['frag_04_c00001', 'frag_08_c00001']",908.4642124792663,908.4642124792663
23,24,"['frag_04_c00001', 'frag_08_c00001']",908.4642124792663,908.4642124792663
24,25,"['frag_03_c00001', 'frag_06_c00001']",913.8810572637412,913.8810572637412
25,26,"['frag_03_c00001', 'frag_06_c00001']",913.8810572637412,913.8810572637412
26,27,"['frag_03_c00001', 'frag_06_c00001']",913.8810572637412,913.8810572637412
27,28,"['frag_03_c00001', 'frag_06_c00001']",913.8810572637412,913.8810572637412
28,29,"['frag_01_c00001', 'frag_09_c00001']",973.359549264178,973.359549264178
29,30,"['frag_01_c00001', 'frag_09_c00001']",973.359549264178,973.359549264178
30,31,"['frag_01_c00001', 'frag_09_c00001']",973.359549264178,973.359549264178
31,32,"['frag_01_c00001', 'frag_09_c00001']",973.359549264178,973.359549264178
32,33,"['frag_02_c00001', 'frag_03_c00001']",986.403624458093,986.403624458093
33,34,"['frag_02_c00001', 'frag_03_c00001']",986.403624458093,986.403624458093
34,35,"['frag_02_c00001', 'frag_03_c00001']",986.4036244580948,986.4036244580948
35,36,"['frag_02_c00001', 'frag_03_c00001']",986.4036244580948,986.4036244580948
36,37,"['frag_05_c00001', 'frag_06_c00001']",1124.6853846802187,1124.6853846802187
37,38,"['frag_05_c00001', 'frag_06_c00001']",1124.6853846802187,1124.6853846802187
38,39,"['frag_05_c00001', 'frag_06_c00001']",1124.6853846802205,1124.6853846802205
39,40,"['frag_05_c00001', 'frag_06_c00001']",1124.6853846802205,1124.6853846802205
40,41,"['frag_01_c00001', 'frag_16_c00001']",518.5591218410646,1518.5591218410646
41,42,"['frag_01_c00001', 'frag_16_c00001']",518.5591218410646,1518.5591218410646
42,43,"['frag_01_c00001', 'frag_16_c00001']",518.5591218410646,1518.5591218410646
43,44,"['frag_01_c00001', 'frag_16_c00001']",518.5591218410646,1518.5591218410646
44,45,"['frag_01_c00001', 'frag_14_c00001']",611.3574504145727,1611.3574504145727
45,46,"['frag_01_c00001', 'frag_14_c00001']",611.3574504145727,1611.3574504145727
46,47,"['frag_01_c00001', 'frag_14_c00001']",611.3574504145727,1611.3574504145727
47,48,"['frag_01_c00001', 'frag_14_c00001']",611.3574504145727,1611.3574504145727
48,49,"['frag_03_c00001', 'frag_10_c00001']",758.0142274638038,1758.0142274638038
49,50,"['frag_03_c00001', 'frag_10_c00001']",758.0142274638038,1758.0142274638038
50,51,"['frag_03_c00001', 'frag_10_c00001']",758.0142274638038,1758.0142274638038
51,52,"['frag_03_c00001', 'frag_10_c00001']",758.0142274638038,1758.0142274638038
52,53,"['frag_03_c00001', 'frag_08_c00001']",758.7611864128321,1758.761186412832
53,54,"['frag_03_c00001', 'frag_08_c00001']",758.7611864128321,1758.761186412832
54,55,"['frag_03_c00001', 'frag_08_c00001']",758.7611864128321,1758.761186412832
55,56,"['frag_03_c00001', 'frag_08_c00001']",758.7611864128321,1758.761186412832
56,57,"['frag_04_c00001', 'frag_07_c00001']",760.7982626688063,1760.7982626688063
57,58,"['frag_04_c00001', 'frag_07_c00001']",760.7982626688063,1760.7982626688063
58,59,"['frag_04_c00001', 'frag_07_c00001']",760.7982626688063,1760.7982626688063
59,60,"['frag_04_c00001', 'frag_07_c00001']",760.7982626688063,1760.7982626688063
60,61,"['frag_04_c00001', 'frag_11_c00001']",769.0169117524638,1769.0169117524638
61,62,"['frag_04_c00001', 'frag_11_c00001']",769.0169117524638,1769.0169117524638
62,63,"['frag_04_c00001', 'frag_11_c00001']",769.0169117524656,1769.0169117524656
63,64,"['frag_04_c00001', 'frag_11_c00001']",769.0169117524656,1769.0169117524656
64,65,"['frag_04_c00001', 'frag_12_c00001']",769.2391381178459,1769.2391381178459
65,66,"['frag_04_c00001', 'frag_12_c00001']",769.2391381178459,1769.2391381178459
66,67,"['frag_04_c00001', 'frag_12_c00001']",769.2391381178477,1769.2391381178477
67,68,"['frag_04_c00001', 'frag_12_c00001']",769.2391381178477,1769.2391381178477
68,69,"['frag_02_c00001', 'frag_06_c00001']",823.1709976300845,1823.1709976300845
69,70,"['frag_02_c00001', 'frag_06_c00001']",823.1709976300845,1823.1709976300845
70,71,"['frag_02_c00001', 'frag_06_c00001']",823.1709976300845,1823.1709976300845
71,72,"['frag_02_c00001', 'frag_06_c00001']",823.1709976300845,1823.1709976300845
72,73,"['frag_04_c00001', 'frag_09_c00001']",889.1848379337061,1889.1848379337061
73,74,"['frag_04_c00001', 'frag_09_c00001']",889.1848379337061,1889.1848379337061
74,75,"['frag_04_c00001', 'frag_09_c00001']",889.1848379337061,1889.1848379337061
75,76,"['frag_04_c00001', 'frag_09_c00001']",889.1848379337061,1889.1848379337061
76,77,"['frag_02_c00001', 'frag_02_c00001']",968.7245000719104,1968.7245000719104
77,78,"['frag_05_c00001', 'frag_10_c00001']",977.5840747365819,1977.584074736582
78,79,"['frag_05_c00001', 'frag_10_c00001']",977.5840747365819,1977.584074736582
79,80,"['frag_05_c00001', 'frag_10_c00001']",977.5840747365837,1977.5840747365837
80,81,"['frag_05_c00001', 'frag_10_c00001']",977.5840747365837,1977.5840747365837
81,82,"['frag_05_c00001', 'frag_08_c00001']",978.1769458663875,1978.1769458663875
82,83,"['frag_05_c00001', 'frag_08_c00001']",978.1769458663875,1978.1769458663875
83,84,"['frag_05_c00001', 'frag_08_c00001']",978.1769458663894,1978.1769458663894
84,85,"['frag_05_c00001', 'frag_08_c00001']",978.1769458663894,1978.1769458663894
85,86,"['frag_06_c00001', 'frag_06_c00001']",1022.7508461013131,2022.750846101313
86,87,"['frag_01_c00001', 'frag_01_c00001', 'frag_03_c00001']",2036.9563558271057,2036.9563558271057
87,88,"['frag_01_c00001', 'frag_01_c00001', 'frag_03_c00001']",2036.9563558271075,2036.9563558271075
88,89,"['frag_01_c00001', 'frag_01_c00001', 'frag_05_c00001']",2056.418926115566,2056.418926115566
89,90,"['frag_01_c00001', 'frag_01_c00001', 'frag_05_c00001']",2056.418926115566,2056.418926115566
90,91,"['frag_01_c00001', 'frag_04_c00001', 'frag_04_c00001']",2273.643899321818,2273.643899321818
91,92,"['frag_01_c00001', 'frag_04_c00001', 'frag_04_c00001']",2273.643899321818,2273.643899321818
92,93,"['frag_01_c00001', 'frag_15_c00001']",499.72331214310725,2499.7233121431073
93,94,"['frag_01_c00001', 'frag_15_c00001']",499.72331214310725,2499.7233121431073
94,95,"['frag_01_c00001', 'frag_15_c00001']",499.72331214310725,2499.7233121431073
95,96,"['frag_01_c00001', 'frag_15_c00001']",499.72331214310725,2499.7233121431073
96,97,"['frag_04_c00001', 'frag_16_c00001']",599.6944226790893,2599.6944226790893
97,98,"['frag_04_c00001', 'frag_16_c00001']",599.6944226790893,2599.6944226790893
98,99,"['frag_04_c00001', 'frag_16_c00001']",599.6944226790893,2599.6944226790893
99,100,"['frag_04_c00001', 'frag_16_c00001']",599.6944226790893,2599.6944226790893
100,101,"['frag_03_c00001', 'frag_11_c00001']",619.0453908557465,2619.0453908557465
101,102,"['frag_03_c00001', 'frag_11_c00001']",619.0453908557465,2619.0453908557465
102,103,"['frag_03_c00001', 'frag_11_c00001']",619.0453908557465,2619.0453908557465
103,104,"['frag_03_c00001', 'frag_11_c00001']",619.0453908557465,2619.0453908557465
104,105,"['frag_03_c00001', 'frag_12_c00001']",619.5351541543096,2619.5351541543096
105,106,"['frag_03_c00001', 'frag_12_c00001']",619.5351541543096,2619.5351541543096
106,107,"['frag_03_c00001', 'frag_12_c00001']",619.5351541543096,2619.5351541543096
107,108,"['frag_03_c00001', 'frag_12_c00001']",619.5351541543096,2619.5351541543096
108,109,"['frag_01_c00001', 'frag_13_c00001']",628.4483383616789,2628.448338361679
109,110,"['frag_01_c00001', 'frag_13_c00001']",628.4483383616789,2628.448338361679
110,111,"['frag_01_c00001', 'frag_13_c00001']",628.4483383616789,2628.448338361679
111,112,"['frag_01_c00001', 'frag_13_c00001']",628.4483383616789,2628.448338361679
112,113,"['frag_03_c00001', 'frag_07_c00001']",655.7248274225203,2655.7248274225203
113,114,"['frag_03_c00001', 'frag_07_c00001']",655.7248274225203,2655.7248274225203
114,115,"['frag_03_c00001', 'frag_07_c00001']",655.7248274225203,2655.7248274225203
115,116,"['frag_03_c00001', 'frag_07_c00001']",655.7248274225203,2655.7248274225203
116,117,"['frag_02_c00001', 'frag_10_c00001']",666.9510834887824,2666.9510834887824
117,118,"['frag_02_c00001', 'frag_10_c00001']",666.9510834887824,2666.9510834887824
118,119,"['frag_02_c00001', 'frag_10_c00001']",666.9510834887824,2666.9510834887824
119,120,"['frag_02_c00001', 'frag_10_c00001']",666.9510834887824,2666.9510834887824
120,121,"['frag_02_c00001', 'frag_08_c00001']",667.6805627347694,2667.6805627347694
121,122,"['frag_02_c00001', 'frag_08_c00001']",667.6805627347694,2667.6805627347694
122,123,"['frag_02_c00001', 'frag_08_c00001']",667.6805627347694,2667.6805627347694
123,124,"['frag_02_c00001', 'frag_08_c00001']",667.6805627347694,2667.6805627347694
124,125,"['frag_04_c00001', 'frag_14_c00001']",688.8499450577438,2688.8499450577438
125,126,"['frag_04_c00001', 'frag_14_c00001']",688.8499450577438,2688.8499450577438
126,127,"['frag_04_c00001', 'frag_14_c00001']",688.8499450577456,2688.8499450577456
127,128,"['frag_04_c00001', 'frag_14_c00001']",688.8499450577456,2688.8499450577456
128,129,"['frag_03_c00001', 'frag_09_c00001']",739.4158287157625,2739.4158287157625
129,130,"['frag_03_c00001', 'frag_09_c00001']",739.4158287157625,2739.4158287157625
130,131,"['frag_03_c00001', 'frag_09_c00001']",739.4158287157625,2739.4158287157625
131,132,"['frag_03_c00001', 'frag_09_c00001']",739.4158287157625,2739.4158287157625
132,133,"['frag_01_c00001', 'frag_01_c00001', 'frag_02_c00001']",1800.3339417626157,2800.3339417626157
133,134,"['frag_01_c00001', 'frag_01_c00001', 'frag_02_c00001']",1800.3339417626157,2800.3339417626157
134,135,"['frag_05_c00001', 'frag_07_c00001']",829.9541295836079,2829.954129583608
135,136,"['frag_05_c00001', 'frag_07_c00001']",829.9541295836079,2829.954129583608
136,137,"['frag_05_c00001', 'frag_07_c00001']",829.9541295836079,2829.954129583608
137,138,"['frag_05_c00001', 'frag_07_c00001']",829.9541295836079,2829.954129583608
138,139,"['frag_06_c00001', 'frag_10_c00001']",874.9293400059614,2874.9293400059614
139,140,"['frag_06_c00001', 'frag_10_c00001']",874.9293400059614,2874.9293400059614
140,141,"['frag_06_c00001', 'frag_10_c00001']",874.9293400059632,2874.9293400059632
141,142,"['frag_06_c00001', 'frag_10_c00001']",874.9293400059632,2874.9293400059632
142,143,"['frag_06_c00001', 'frag_08_c00001']",875.4939591156199,2875.49395911562
143,144,"['frag_06_c00001', 'frag_08_c00001']",875.4939591156199,2875.49395911562
144,145,"['frag_06_c00001', 'frag_08_c00001']",875.4939591156199,2875.49395911562
145,146,"['frag_06_c00001', 'frag_08_c00001']",875.4939591156199,2875.49395911562
146,147,"['frag_05_c00001', 'frag_09_c00001']",888.1676040066268,2888.167604006627
147,148,"['frag_05_c00001', 'frag_09_c00001']",888.1676040066268,2888.167604006627
148,149,"['frag_05_c00001', 'frag_09_c00001']",888.1676040066268,2888.167604006627
