,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",42211.21214236505,42211.21214236505,"[[(3, 3), (6, 4), (1, 5), (4, 6), (5, 7), (2, 8), (7, 9)], [(1, 1), (2, 2)]]"
1,2,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",42211.21214236505,42211.21214236505,"[[(1, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8), (7, 9)], [(1, 1), (2, 2)]]"
2,3,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",42211.21214236505,42211.21214236505,"[[(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
3,4,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",42211.21214236505,42211.21214236505,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
4,5,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",42388.30347504839,42388.30347504839,"[[(1, 3), (6, 4), (7, 5), (4, 6), (5, 7), (2, 8), (3, 9)], [(1, 1), (2, 2)]]"
5,6,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",42388.30347504839,42388.30347504839,"[[(3, 3), (6, 4), (7, 5), (4, 6), (5, 7), (2, 8), (1, 9)], [(1, 1), (2, 2)]]"
6,7,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",42388.30347504839,42388.30347504839,"[[(3, 3), (2, 4), (7, 5), (4, 6), (5, 7), (6, 8), (1, 9)], [(1, 1), (2, 2)]]"
7,8,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",42388.30347504839,42388.30347504839,"[[(1, 3), (2, 4), (7, 5), (4, 6), (5, 7), (6, 8), (3, 9)], [(1, 1), (2, 2)]]"
8,9,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",43023.37903946638,43023.37903946638,"[[(7, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8), (1, 9)], [(1, 1), (2, 2)]]"
9,10,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",43023.37903946638,43023.37903946638,"[[(7, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (3, 9)], [(1, 1), (2, 2)]]"
