,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['frag_06_c00001', 'frag_15_c00001']","[[], [8]]",8.93801809667174,9.93801809667174,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)]]"
1,2,"['frag_15_c00001', 'frag_06_c00001']","[[8], []]",8.938018096671744,9.938018096671744,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)], [(2, 7), (3, 8), (1, 9)]]"
2,3,"['frag_06_c00001', 'frag_15_c00001']","[[], [8]]",8.938018096671744,9.938018096671744,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)]]"
3,4,"['frag_15_c00001', 'frag_06_c00001']","[[8], []]",8.938018096671744,9.938018096671744,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)], [(2, 7), (3, 8), (1, 9)]]"
4,5,"['frag_06_c00001', 'frag_15_c00001']","[[], [8]]",9.41130202090076,10.41130202090076,"[[(2, 7), (3, 8), (1, 9)], [(6, 1), (2, 2), (3, 3), (4, 4), (5, 5), (1, 6)]]"
5,6,"['frag_06_c00001', 'frag_15_c00001']","[[], [8]]",9.41130202090076,10.41130202090076,"[[(2, 7), (3, 8), (1, 9)], [(6, 1), (2, 2), (3, 3), (4, 4), (5, 5), (1, 6)]]"
6,7,"['frag_15_c00001', 'frag_06_c00001']","[[8], []]",9.41130202090076,10.41130202090076,"[[(6, 1), (2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(2, 7), (3, 8), (1, 9)]]"
7,8,"['frag_15_c00001', 'frag_06_c00001']","[[8], []]",9.41130202090076,10.41130202090076,"[[(6, 1), (2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(2, 7), (3, 8), (1, 9)]]"
8,9,"['frag_06_c00001', 'frag_15_c00001']","[[8], []]",9.93197167657955,10.93197167657955,"[[(3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]]"
9,10,"['frag_15_c00001', 'frag_06_c00001']","[[], [8]]",9.93197167657955,10.93197167657955,"[[(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)], [(3, 8), (1, 9)]]"
