,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",42211.21214237271,42211.21214237271,"[[(1, 1), (2, 2)], [(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
1,2,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",42211.21214237268,42211.21214237268,"[[(1, 1), (2, 2)], [(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
2,3,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",42211.21214237271,42211.21214237271,"[[(1, 1), (2, 2)], [(3, 3), (6, 4), (1, 5), (4, 6), (5, 7), (2, 8), (7, 9)]]"
3,4,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",42211.21214237271,42211.21214237271,"[[(1, 1), (2, 2)], [(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
4,5,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",42211.21214237271,42211.21214237271,"[[(1, 1), (2, 2)], [(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
5,6,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",42211.21214237274,42211.21214237274,"[[(1, 1), (2, 2)], [(1, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8), (7, 9)]]"
6,7,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",42211.21214237271,42211.21214237271,"[[(1, 1), (2, 2)], [(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
7,8,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",42388.303475056746,42388.303475056746,"[[(1, 1), (2, 2)], [(1, 3), (2, 4), (7, 5), (4, 6), (5, 7), (6, 8), (3, 9)]]"
8,9,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",43023.37903947482,43023.37903947482,"[[(1, 1), (2, 2)], [(7, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (3, 9)]]"
9,10,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",43023.37903947482,43023.37903947482,"[[(1, 1), (2, 2)], [(7, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (3, 9)]]"
10,11,"['frag_06_c00001', 'frag_16_c00001']","[[7], []]",33566.32421528094,43566.32421528094,"[[(2, 1), (1, 2)], [(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
11,12,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",33566.324215281,43566.324215281,"[[(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 1), (1, 2)]]"
12,13,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",33566.324215281,43566.324215281,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 1), (1, 2)]]"
13,14,"['frag_06_c00001', 'frag_16_c00001']","[[7], []]",33566.324215281,43566.324215281,"[[(2, 1), (1, 2)], [(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
14,15,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",33566.324215281,43566.324215281,"[[(1, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8), (7, 9)], [(2, 1), (1, 2)]]"
15,16,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",33743.415547965036,43743.415547965036,"[[(1, 3), (2, 4), (7, 5), (4, 6), (5, 7), (6, 8), (3, 9)], [(2, 1), (1, 2)]]"
16,17,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",33743.415547965036,43743.415547965036,"[[(1, 3), (6, 4), (7, 5), (4, 6), (5, 7), (2, 8), (3, 9)], [(2, 1), (1, 2)]]"
17,18,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",43952.83884515311,43952.83884515311,"[[(1, 1), (2, 2)], [(1, 3), (2, 4), (3, 5), (5, 6), (4, 7), (6, 8), (7, 9)]]"
18,19,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",34069.83927671707,44069.83927671707,"[[(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 1), (1, 2)]]"
19,20,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",34069.83927671707,44069.83927671707,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 1), (1, 2)]]"
