file,energy / Ha
qm7_0,-40.4286780393
qm7_1,-79.665193925272
qm7_10,-116.41989591901
qm7_100,-248.012546719354
qm7_1000,-288.481853498554
qm7_1001,-286.049052274747
qm7_1002,-285.966127308718
qm7_1003,-287.209512413616
qm7_1004,-234.147228126655
qm7_1005,-287.302872377238
qm7_1006,-287.203168239737
qm7_1007,-287.230797628092
qm7_1008,-288.469078729159
qm7_1009,-288.482754350289
qm7_101,-249.219025160742
qm7_1010,-286.062614217634
qm7_1011,-288.485341576462
qm7_1012,-287.289703263884
qm7_1013,-287.304539432347
qm7_1014,-287.254761528663
qm7_1015,-232.918720712832
qm7_1016,-284.738725790754
qm7_1017,-286.036035874536
qm7_1018,-287.239080061276
qm7_1019,-288.46334577042
qm7_102,-194.91419540594
qm7_1020,-284.804956487695
qm7_1021,-286.066087785128
qm7_1022,-284.850561476182
qm7_1023,-288.482401497434
qm7_1024,-286.053545533781
qm7_1025,-286.03518949465
qm7_1026,-231.677438667367
qm7_1027,-286.047011719998
qm7_1028,-286.0783099514
qm7_1029,-287.211850367153
qm7_103,-247.967841717436
qm7_1030,-287.224706585712
qm7_1031,-286.019097359216
qm7_1032,-286.073456847682
qm7_1033,-286.030041628519
qm7_1034,-287.233126646895
qm7_1035,-287.232390911037
qm7_1036,-287.223127884849
qm7_1037,-232.910761173221
qm7_1038,-287.221516470848
qm7_1039,-288.470662409109
qm7_104,-247.998016811903
qm7_1040,-286.065260957207
qm7_1041,-288.459832302335
qm7_1042,-287.292407094634
qm7_1043,-287.246469409539
qm7_1044,-286.051940261316
qm7_1045,-288.469045482331
qm7_1046,-287.257542923114
qm7_1047,-288.467454447
qm7_1048,-231.655283927687
qm7_1049,-287.264375688512
qm7_105,-247.991385879652
qm7_1050,-287.255129650626
qm7_1051,-288.451100146433
qm7_1052,-286.069742659474
qm7_1053,-284.804913489396
qm7_1054,-285.967154063658
qm7_1055,-284.709751509371
qm7_1056,-287.223699733475
qm7_1057,-287.219562970717
qm7_1058,-287.216623619533
qm7_1059,-235.392184803865
qm7_106,-247.988361864198
qm7_1060,-288.456613446275
qm7_1061,-287.233651982831
qm7_1062,-284.817012655954
qm7_1063,-287.23708164717
qm7_1064,-284.810280595279
qm7_1065,-288.462630796205
qm7_1066,-286.031271244982
qm7_1067,-288.462394559594
qm7_1068,-286.036847619207
qm7_1069,-287.215372238362
qm7_107,-249.229555110459
qm7_1070,-235.395967306923
qm7_1071,-285.97906073479
qm7_1072,-284.718621455243
qm7_1073,-287.24094886687
qm7_1074,-287.24911861062
qm7_1075,-284.855760023663
qm7_1076,-284.848831739688
qm7_1077,-287.262530711927
qm7_1078,-287.243860308053
qm7_1079,-287.245363292879
qm7_108,-246.820405151176
qm7_1080,-286.037144199205
qm7_1081,-234.166374219316
qm7_1082,-287.233103156829
qm7_1083,-287.234911249741
qm7_1084,-284.806436607455
qm7_1085,-287.23087532455
qm7_1086,-284.807822091828
qm7_1087,-287.242037646722
qm7_1088,-287.229788631842
qm7_1089,-284.808728767293
qm7_109,-246.835844040635
qm7_1090,-288.480815845353
qm7_1091,-287.237245718981
qm7_1092,-232.911054939119
qm7_1093,-287.240581623858
qm7_1094,-285.98072809289
qm7_1095,-287.243689262806
qm7_1096,-285.984237814627
qm7_1097,-287.244853293436
qm7_1098,-285.988490954029
qm7_1099,-287.237588987588
qm7_11,-133.665352491912
qm7_110,-245.574398667097
qm7_1100,-286.079319766781
qm7_1101,-286.073308245496
qm7_1102,-284.82325118958
qm7_1103,-235.392107219883
qm7_1104,-235.4218719284
qm7_1105,-284.819592555394
qm7_1106,-286.105981893092
qm7_1107,-283.622846520048
qm7_1108,-284.879496156735
qm7_1109,-284.86719192251
qm7_111,-246.834956433407
qm7_1110,-287.263676326983
qm7_1111,-286.067436032292
qm7_1112,-283.609142403222
qm7_1113,-284.861921940302
qm7_1114,-284.878720721124
qm7_1115,-234.164232777038
qm7_1116,-287.234793989238
qm7_1117,-286.026972004997
qm7_1118,-287.232078840857
qm7_1119,-286.024511227498
qm7_112,-247.991585823135
qm7_1120,-287.230458870594
qm7_1121,-286.024183903292
qm7_1122,-282.339300959603
qm7_1123,-283.612376562898
qm7_1124,-282.35022227712
qm7_1125,-284.843664534783
qm7_1126,-232.909977528915
qm7_1127,-284.808832648271
qm7_1128,-283.546353205029
qm7_1129,-284.81672099699
qm7_113,-193.660885858579
qm7_1130,-284.817771547592
qm7_1131,-283.562783081335
qm7_1132,-286.052041318179
qm7_1133,-287.220503910503
qm7_1134,-286.012244708701
qm7_1135,-286.057294496103
qm7_1136,-286.059357401478
qm7_1137,-235.395456314491
qm7_1138,-284.804143873347
qm7_1139,-284.80511263669
qm7_114,-246.794246097144
qm7_1140,-285.98575851549
qm7_1141,-285.984185257489
qm7_1142,-284.730323244654
qm7_1143,-591.694081376337
qm7_1144,-607.70301393642
qm7_1145,-591.693518283106
qm7_1146,-607.704811025149
qm7_1147,-607.711107795043
qm7_1148,-235.389413171562
qm7_1149,-607.701575622791
qm7_115,-247.988894941451
qm7_1150,-607.712774599308
qm7_1151,-607.714027726196
qm7_1152,-666.950765762022
qm7_1153,-665.709300036679
qm7_1154,-664.438676524607
qm7_1155,-607.704106487044
qm7_1156,-234.136354302357
qm7_1157,-607.70579605936
qm7_1158,-627.533818837289
qm7_1159,-627.5375798165
qm7_116,-246.784729013647
qm7_1160,-665.724328883951
qm7_1161,-234.145633931604
qm7_1162,-232.915705105395
qm7_1163,-231.66741943817
qm7_1164,-235.392899751242
qm7_1165,-235.39294579046
qm7_1166,-235.39497901895
qm7_1167,-288.213302559083
qm7_1168,-291.865990731763
qm7_1169,-290.638983417994
qm7_117,-246.797064077751
qm7_1170,-288.228318717455
qm7_1171,-291.869585383388
qm7_1172,-289.44907126053
qm7_1173,-291.870595182407
qm7_1174,-289.451117037781
qm7_1175,-286.955433882026
qm7_1176,-291.867242106546
qm7_1177,-273.434305864811
qm7_1178,-289.450861328994
qm7_1179,-289.391007355193
qm7_118,-246.752125435153
qm7_1180,-289.390143802047
qm7_1181,-286.964960716146
qm7_1182,-290.636997424029
qm7_1183,-288.220914881264
qm7_1184,-290.638627414127
qm7_1185,-288.219486727999
qm7_1186,-291.868016807097
qm7_1187,-291.87404608313
qm7_1188,-272.212210168534
qm7_1189,-289.450092299013
qm7_119,-245.491720084413
qm7_1190,-289.386887954604
qm7_1191,-286.97221511928
qm7_1192,-291.871559813133
qm7_1193,-289.44899662709
qm7_1194,-291.859204902754
qm7_1195,-290.629420971669
qm7_1196,-290.63123505364
qm7_1197,-291.860443388658
qm7_1198,-291.863395705419
qm7_1199,-273.439397445619
qm7_12,-134.909757012745
qm7_120,-552.449814795086
qm7_1200,-291.861490992623
qm7_1201,-289.37948786733
qm7_1202,-291.861190439307
qm7_1203,-305.424121856305
qm7_1204,-305.462058680136
qm7_1205,-305.424959519888
qm7_1206,-305.411240408941
qm7_1207,-305.458304893073
qm7_1208,-305.418012140558
qm7_1209,-305.412395267387
qm7_121,-568.457656448021
qm7_1210,-273.43423501336
qm7_1211,-305.459891611116
qm7_1212,-305.406876971269
qm7_1213,-305.454252739311
qm7_1214,-305.423588670779
qm7_1215,-305.462291060535
qm7_1216,-306.643590438671
qm7_1217,-306.685361035673
qm7_1218,-306.647517538527
qm7_1219,-306.642238923009
qm7_122,-568.465986552965
qm7_1220,-306.687656438012
qm7_1221,-271.0484095463
qm7_1222,-304.200275716097
qm7_1223,-305.412259508851
qm7_1224,-304.161299772805
qm7_1225,-304.172833340759
qm7_1226,-304.163320201801
qm7_1227,-304.210697431674
qm7_1228,-305.419526665709
qm7_1229,-305.458800314494
qm7_123,-192.404825074492
qm7_1230,-305.419991706919
qm7_1231,-305.458209395662
qm7_1232,-273.441923630543
qm7_1233,-305.415106796368
qm7_1234,-306.641695503411
qm7_1235,-306.68703914743
qm7_1236,-306.644698526795
qm7_1237,-304.166091807595
qm7_1238,-304.20770313224
qm7_1239,-306.646813510757
qm7_124,-196.156025645491
qm7_1240,-306.640503321592
qm7_1241,-306.684972527746
qm7_1242,-290.620718527078
qm7_1243,-270.998002394346
qm7_1244,-289.386640026981
qm7_1245,-288.135425726378
qm7_1246,-289.390611957665
qm7_1247,-289.392258703852
qm7_1248,-289.389687161255
qm7_1249,-290.623098329218
qm7_125,-194.927814863172
qm7_1250,-290.62393284214
qm7_1251,-288.133629974984
qm7_1252,-288.14078580205
qm7_1253,-290.624592981933
qm7_1254,-270.991813706579
qm7_1255,-291.862037619774
qm7_1256,-285.730983281221
qm7_1257,-289.411104308345
qm7_1258,-288.156016011912
qm7_1259,-289.407043619446
qm7_126,-193.672499435663
qm7_1260,-288.150451752346
qm7_1261,-290.624693647935
qm7_1262,-289.406207277804
qm7_1263,-288.151320068993
qm7_1264,-285.74087979587
qm7_1265,-270.990525559432
qm7_1266,-288.157369195546
qm7_1267,-290.619093543479
qm7_1268,-290.63575573366
qm7_1269,-289.385577321919
qm7_127,-194.926712011081
qm7_1270,-290.637404514358
qm7_1271,-289.382599069725
qm7_1272,-291.855441127004
qm7_1273,-289.363815207376
qm7_1274,-288.215799861769
qm7_1275,-286.960779556684
qm7_1276,-272.204342731166
qm7_1277,-273.428301724623
qm7_1278,-290.634204019887
qm7_1279,-289.381133023053
qm7_128,-196.179815820435
qm7_1280,-288.155820466797
qm7_1281,-286.899230417677
qm7_1282,-289.375345877542
qm7_1283,-291.872320877034
qm7_1284,-290.640374387794
qm7_1285,-289.383085808345
qm7_1286,-291.854632197003
qm7_1287,-290.640126713426
qm7_1288,-272.202654972676
qm7_1289,-290.635015785463
qm7_129,-193.668132602824
qm7_1290,-289.38370070549
qm7_1291,-291.871802380667
qm7_1292,-290.634007564415
qm7_1293,-289.381200605154
qm7_1294,-291.852449443923
qm7_1295,-301.797087806972
qm7_1296,-304.224765892142
qm7_1297,-304.219815227365
qm7_1298,-301.783442079311
